label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Tanzania_Contagious caprine pleuropneumonia (CCPP),"(Livestock OR ruminants OR goats OR ram OR ewe) AND Tanzania AND (""Contagious caprine pleuro*"" OR CCPP OR Mycoplasma) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Contagious caprine pleuropneumonia (CCPP).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Contagious ecthyma (Orf disease),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (""Contagious ecthyma"" OR Orf OR capripox OR ""contagious pustular dermatitis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Contagious ecthyma (Orf disease).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Cowdriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Cowdriosis OR Heartwater Or ""Ehrichia ruminantium"" OR Ehrlichi* OR ""tick-borne diseases"" OR ""haemoparasitic diseases"" OR haemoparasites) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Cowdriosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Cryptosporidiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR calf OR lamb OR kid) AND Tanzania AND (Cryptosporidi* OR ""Cryptosporidium parvum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Cryptosporidiosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Cysticercosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe) AND Tanzania AND (Cysticerc* OR ""Cysticercus bovis"" OR ""Cysticercus ovis"" OR ""Taenia saginata"" OR ""Taenia ovis"" OR ""Cysticercus tenuicolis"" OR ""Taenia hydatigena"" OR ""sheep measles"" OR ""sheep bladder worm"" OR ""beef measles"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Cysticercosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Dermatophilosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Dermatophil* OR ""Dermatophilus congolensis"" OR ""tick-borne diseases"" OR streptothricosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Dermatophilosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Dermatophytosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Dermatophytosis OR Microsporum OR ""Trichophyton mentagrophytes"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Dermatophytosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Disease-associated mortality,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull OR lamb OR kid) AND Tanzania AND (Mortality OR ""disease-associated mortality"" OR ""disease mortality"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Disease-associated mortality.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Echinococcosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Echinococc* OR ""Echinococcus granulosus"" OR Hydatidosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Echinococcosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Enterotoxaemia,"(Livestock OR ruminants OR sheep OR goats OR lamb OR kid) AND Tanzania AND (enterotoxaemia OR ""Clostridium perfringens"" OR ""pulpy kidney disease"" OR ""lamb dysentery"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Enterotoxaemia.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Enzootic bovine leukosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (""enzootic bovine leukosis"" OR ""bovine leukemia virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Enzootic bovine leukosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Fasciolosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Fasciol* OR ""Fasciola hepatica"" OR ""Fasciola gigantica"" OR ""liver fluke"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Fasciolosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Foot and mouth disease (FMD),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (""Foot and mouth disease"" OR FMD) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Foot and mouth disease (FMD).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Haemorrhagic septicaemia,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (""Haemorrhagic septicaemia"" OR ""Pasteurella multocida"" OR Pasteurell*) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Haemorrhagic septicaemia.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Infectious bovine rhinotracheitis OR infectious pustular vulvovaginitis (IBR OR IPV),"(Livestock OR ruminants OR cattle OR cow) AND Tanzania AND (IBR OR BHV OR BoHV OR ""infectious bovine rhinotracheitis"" OR ""herpesvirus bovine"" OR ""pustular vulvovaginitis"" OR ""bovine rhinotracheitis virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Infectious bovine rhinotracheitis OR infectious pustular vulvovaginitis (IBR OR IPV).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Infectious necrotic hepatitis,"(Livestock OR ruminants OR sheep OR ewe OR ram) AND Tanzania AND (""Infectious necrotic hepatitis"" OR ""black disease"" OR ""Clostridium novyi"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Infectious necrotic hepatitis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
"pubmed_Tanzania_Infestation with ticks, fleas, lice, mange, mites","(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR e	we OR bull) AND Tanzania AND (Ectoparasit* OR lice OR fleas OR mange OR mites OR Demodex OR Rhipicephalus OR Psoroptes OR Hyalomma OR ""Melophagus ovinus"") AND (prevalence OR incidence)",pubmed,"output/pubmed_Tanzania/json/Infestation with ticks, fleas, lice, mange, mites.json",200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Leptospirosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND Leptospir* AND (prevalence OR incidence),pubmed,output/pubmed_Tanzania/json/Leptospirosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Listeriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe) AND Tanzania AND (Listeri* OR ""Listeria monocytogenes"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Listeriosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Lumpy skin disease (LSD),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (""Lumpy skin disease"" OR LSD) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Lumpy skin disease (LSD).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Malignant catarrhal fever (MCF),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (""Malignant catarrhal fever"" OR MCF OR ""ovine herpesvirus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Malignant catarrhal fever (MCF).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Nematodiasis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (""gastrointestinal helminths"" OR ""gastrointestinal parasites"" OR nematode* OR helminth* OR helminthiasis OR ""lung worms"" OR lungworms OR ""lung helminths"" OR ""lung parasites"" OR Strongyloid* OR Ostertagi* OR Haemonch* OR Trichostrongyl* OR Nematodirus OR Parmphistomum OR Oesophagostomum OR Dictyocaulus OR Protostrongylus) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Nematodiasis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Neosporosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Neosporosis OR ""Neospora caninum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Neosporosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Ovine epididymitis,"(Livestock OR ruminants OR sheep OR ram) AND Tanzania AND (""Ovine epididymitis"" OR ""Brucella ovis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Ovine epididymitis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Paratuberculosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Paratuberculosis OR ""Johne’s disease"" OR ""Mycobacterium avium"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Paratuberculosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Pasteurellosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Pasteurell* OR Manhemi*) AND (prevalence OR incidence),pubmed,output/pubmed_Tanzania/json/Pasteurellosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Peste des petits ruminants (PPR),"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Tanzania AND (PPR OR ""Peste des petits ruminants"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Peste des petits ruminants (PPR).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Q fever (Coxiellosis),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Coxiell* OR ""Q fever"" OR ""Coxiella burnetii"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Q fever (Coxiellosis).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Rabies,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND Rabies AND (prevalence OR incidence),pubmed,output/pubmed_Tanzania/json/Rabies.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Salmonellosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Salmonell* OR ""Salmonella abortusovis"" OR ""Salmonella typhimurium"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Salmonellosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Sarcocystosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Sarcocyst* OR sarcosporidiasis) AND (prevalence OR incidence),pubmed,output/pubmed_Tanzania/json/Sarcocystosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Schmallenberg,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND Schmallenberg AND (prevalence OR incidence),pubmed,output/pubmed_Tanzania/json/Schmallenberg.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Scrapie,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Tanzania AND (Scrapie OR ""prion disease"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Scrapie.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Sheep and goat pox,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Tanzania AND (""sheep and goat pox"" OR ""pox"" OR ""Capripox virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Sheep and goat pox.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Small ruminant lentivirus infections,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Tanzania AND (""Maedi-Visna"" OR Maedi OR ""ovine progressive interstitial pneumonia"" OR ""Infectious arthritis OR encephalitis"" OR ""small ruminant lentivirus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Small ruminant lentivirus infections.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Small ruminant Tuberculosis,(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Tanzania AND (Tuberculosis OR mycobacterium) AND (prevalence OR incidence),pubmed,output/pubmed_Tanzania/json/Small ruminant Tuberculosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Theileriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Theileri* OR ""Theileria mutans"" OR ""Theileria orientalis"" OR ""Theileria velifera"" OR ""Theileria ovis"" OR ""tick-borne diaseases"" OR ""haemoparasitic diseases"" OR haemoparasites OR Piroplasmosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Theileriosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Toxoplasmosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Toxoplasm* OR ""Toxoplasma gondii"") AND Tanzania AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Toxoplasmosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Trichomonosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe) AND Tanzania AND (Trichomon* OR ""Trichomonas foetus"") AND Tanzania AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Trichomonosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Trypanosomosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Trypanosom* OR ""Trypanosoma vivax"" OR ""Trypanosoma brucei"" OR ""Trypanosoma congolense"") AND Tanzania AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Trypanosomosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
