label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Ethiopia_Contagious caprine pleuropneumonia (CCPP),"(Livestock OR ruminants OR goats OR ram OR ewe) AND Ethiopia AND (""Contagious caprine pleuro*"" OR CCPP OR Mycoplasma) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Contagious caprine pleuropneumonia (CCPP).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Contagious ecthyma (Orf disease),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (""Contagious ecthyma"" OR Orf OR capripox OR ""contagious pustular dermatitis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Contagious ecthyma (Orf disease).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Cowdriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Cowdriosis OR Heartwater Or ""Ehrichia ruminantium"" OR Ehrlichi* OR ""tick-borne diseases"" OR ""haemoparasitic diseases"" OR haemoparasites) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Cowdriosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Cryptosporidiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR calf OR lamb OR kid) AND Ethiopia AND (Cryptosporidi* OR ""Cryptosporidium parvum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Cryptosporidiosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Cysticercosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe) AND Ethiopia AND (Cysticerc* OR ""Cysticercus bovis"" OR ""Cysticercus ovis"" OR ""Taenia saginata"" OR ""Taenia ovis"" OR ""Cysticercus tenuicolis"" OR ""Taenia hydatigena"" OR ""sheep measles"" OR ""sheep bladder worm"" OR ""beef measles"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Cysticercosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Dermatophilosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Dermatophil* OR ""Dermatophilus congolensis"" OR ""tick-borne diseases"" OR streptothricosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Dermatophilosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Dermatophytosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Dermatophytosis OR Microsporum OR ""Trichophyton mentagrophytes"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Dermatophytosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Disease-associated mortality,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull OR lamb OR kid) AND Ethiopia AND (Mortality OR ""disease-associated mortality"" OR ""disease mortality"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Disease-associated mortality.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Echinococcosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Echinococc* OR ""Echinococcus granulosus"" OR Hydatidosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Echinococcosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Enterotoxaemia,"(Livestock OR ruminants OR sheep OR goats OR lamb OR kid) AND Ethiopia AND (enterotoxaemia OR ""Clostridium perfringens"" OR ""pulpy kidney disease"" OR ""lamb dysentery"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Enterotoxaemia.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Enzootic bovine leukosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (""enzootic bovine leukosis"" OR ""bovine leukemia virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Enzootic bovine leukosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Fasciolosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Fasciol* OR ""Fasciola hepatica"" OR ""Fasciola gigantica"" OR ""liver fluke"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Fasciolosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Foot and mouth disease (FMD),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (""Foot and mouth disease"" OR FMD) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Foot and mouth disease (FMD).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Haemorrhagic septicaemia,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (""Haemorrhagic septicaemia"" OR ""Pasteurella multocida"" OR Pasteurell*) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Haemorrhagic septicaemia.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
