label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Nigeria_Contagious caprine pleuropneumonia (CCPP),"(Livestock OR ruminants OR goats OR ram OR ewe) AND Nigeria AND (""Contagious caprine pleuro*"" OR CCPP OR Mycoplasma) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Contagious caprine pleuropneumonia (CCPP).json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Contagious ecthyma (Orf disease),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (""Contagious ecthyma"" OR Orf OR capripox OR ""contagious pustular dermatitis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Contagious ecthyma (Orf disease).json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Cowdriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Cowdriosis OR Heartwater Or ""Ehrichia ruminantium"" OR Ehrlichi* OR ""tick-borne diseases"" OR ""haemoparasitic diseases"" OR haemoparasites) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Cowdriosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Cryptosporidiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR calf OR lamb OR kid) AND Nigeria AND (Cryptosporidi* OR ""Cryptosporidium parvum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Cryptosporidiosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Cysticercosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe) AND Nigeria AND (Cysticerc* OR ""Cysticercus bovis"" OR ""Cysticercus ovis"" OR ""Taenia saginata"" OR ""Taenia ovis"" OR ""Cysticercus tenuicolis"" OR ""Taenia hydatigena"" OR ""sheep measles"" OR ""sheep bladder worm"" OR ""beef measles"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Cysticercosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Dermatophilosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Dermatophil* OR ""Dermatophilus congolensis"" OR ""tick-borne diseases"" OR streptothricosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Dermatophilosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Dermatophytosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Dermatophytosis OR Microsporum OR ""Trichophyton mentagrophytes"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Dermatophytosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Disease-associated mortality,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull OR lamb OR kid) AND Nigeria AND (Mortality OR ""disease-associated mortality"" OR ""disease mortality"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Disease-associated mortality.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Echinococcosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Echinococc* OR ""Echinococcus granulosus"" OR Hydatidosis) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Echinococcosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Enterotoxaemia,"(Livestock OR ruminants OR sheep OR goats OR lamb OR kid) AND Nigeria AND (enterotoxaemia OR ""Clostridium perfringens"" OR ""pulpy kidney disease"" OR ""lamb dysentery"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Enterotoxaemia.json,200,2010,2020,output/pubmed_Nigeria/pdf/
